case_id,worker_count,lock_mode,id,job_type,status,created_at,enqueued_at,dequeued_at,completed_at,failed_at,latency_ms
2,1,FOR UPDATE,69,noop,completed,2026-02-22T00:39:06.104625Z,2026-02-22T00:39:06.104625Z,2026-02-22T00:40:16.978376Z,2026-02-22T00:40:17.339283Z,,70873.751
2,1,FOR UPDATE,70,noop,completed,2026-02-22T00:39:06.107469Z,2026-02-22T00:39:06.107469Z,2026-02-22T00:40:17.344798Z,2026-02-22T00:40:17.7043Z,,71237.329
2,1,FOR UPDATE,71,noop,completed,2026-02-22T00:39:06.113019Z,2026-02-22T00:39:06.113019Z,2026-02-22T00:40:17.710322Z,2026-02-22T00:40:18.067674Z,,71597.303
2,1,FOR UPDATE,72,noop,completed,2026-02-22T00:39:06.11503Z,2026-02-22T00:39:06.11503Z,2026-02-22T00:40:18.073014Z,2026-02-22T00:40:18.43189Z,,71957.984
2,1,FOR UPDATE,73,noop,completed,2026-02-22T00:39:06.117017Z,2026-02-22T00:39:06.117017Z,2026-02-22T00:40:18.43851Z,2026-02-22T00:40:18.796811Z,,72321.493
2,1,FOR UPDATE,74,noop,completed,2026-02-22T00:39:06.119176Z,2026-02-22T00:39:06.119176Z,2026-02-22T00:40:18.801384Z,2026-02-22T00:40:19.159233Z,,72682.208
2,1,FOR UPDATE,75,noop,completed,2026-02-22T00:39:06.121681Z,2026-02-22T00:39:06.121681Z,2026-02-22T00:40:19.167843Z,2026-02-22T00:40:19.524958Z,,73046.162
2,1,FOR UPDATE,76,noop,completed,2026-02-22T00:39:06.124015Z,2026-02-22T00:39:06.124015Z,2026-02-22T00:40:19.529698Z,2026-02-22T00:40:19.88671Z,,73405.683
2,1,FOR UPDATE,77,noop,completed,2026-02-22T00:39:06.126588Z,2026-02-22T00:39:06.126588Z,2026-02-22T00:40:19.89088Z,2026-02-22T00:40:20.248015Z,,73764.292
2,1,FOR UPDATE,78,noop,completed,2026-02-22T00:39:06.129021Z,2026-02-22T00:39:06.129021Z,2026-02-22T00:40:20.253261Z,2026-02-22T00:40:20.612474Z,,74124.240
2,1,FOR UPDATE,79,noop,completed,2026-02-22T00:39:06.131937Z,2026-02-22T00:39:06.131937Z,2026-02-22T00:40:20.618378Z,2026-02-22T00:40:20.979738Z,,74486.441
2,1,FOR UPDATE,80,noop,completed,2026-02-22T00:39:06.134966Z,2026-02-22T00:39:06.134966Z,2026-02-22T00:40:20.984622Z,2026-02-22T00:40:21.342836Z,,74849.656
2,1,FOR UPDATE,81,noop,completed,2026-02-22T00:39:06.137848Z,2026-02-22T00:39:06.137848Z,2026-02-22T00:40:21.3488Z,2026-02-22T00:40:21.707568Z,,75210.952
2,1,FOR UPDATE,82,noop,completed,2026-02-22T00:39:06.143558Z,2026-02-22T00:39:06.143558Z,2026-02-22T00:40:21.712265Z,2026-02-22T00:40:22.069502Z,,75568.707
2,1,FOR UPDATE,83,noop,completed,2026-02-22T00:39:06.145655Z,2026-02-22T00:39:06.145655Z,2026-02-22T00:40:22.074526Z,2026-02-22T00:40:22.43438Z,,75928.871
2,1,FOR UPDATE,84,noop,completed,2026-02-22T00:39:06.147654Z,2026-02-22T00:39:06.147654Z,2026-02-22T00:40:22.439893Z,2026-02-22T00:40:22.797622Z,,76292.239
2,1,FOR UPDATE,85,noop,completed,2026-02-22T00:39:06.149644Z,2026-02-22T00:39:06.149644Z,2026-02-22T00:40:22.803524Z,2026-02-22T00:40:23.164781Z,,76653.880
