case_id,worker_count,lock_mode,timestamp,timestamp_ms,workers_idle,workers_fetching,workers_processing
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:25.994820745Z,1771721905994,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.095117845Z,1771721906095,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.195536647Z,1771721906195,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.295893523Z,1771721906295,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.396268863Z,1771721906396,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.49662885Z,1771721906496,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.596978467Z,1771721906596,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.697344584Z,1771721906697,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.797675146Z,1771721906797,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.898003208Z,1771721906898,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:26.998316602Z,1771721906998,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.09863607Z,1771721907098,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.19900126Z,1771721907199,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.299376598Z,1771721907299,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.39972588Z,1771721907399,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.500041033Z,1771721907500,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.60035813Z,1771721907600,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.700694153Z,1771721907700,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.801010973Z,1771721907801,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:27.901335014Z,1771721907901,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.001678852Z,1771721908001,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.102014355Z,1771721908102,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.20238734Z,1771721908202,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.302738602Z,1771721908302,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.403097421Z,1771721908403,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.503429813Z,1771721908503,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.603770723Z,1771721908603,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.704107856Z,1771721908704,0,0,32
12,32,FOR UPDATE SKIP LOCKED,2026-02-22T00:58:28.804475637Z,1771721908804,0,0,32
