case_label,total_jobs,completed_jobs,failed_jobs,lost_jobs,job_id,payload_name,job_type,status,attempts,last_error,created_at,enqueued_at,dequeued_at,completed_at,failed_at
no_outage_error_rate_100,100,0,100,0,204104,job-0,noop,failed,5,error about an error,2026-02-22T02:09:17.878608Z,2026-02-22T02:09:28.844661Z,2026-02-22T02:09:31.304147Z,,2026-02-22T02:09:32.110082Z
no_outage_error_rate_100,100,0,100,0,204105,job-1,noop,failed,5,this job has seen enough,2026-02-22T02:09:17.883028Z,2026-02-22T02:09:28.844662Z,2026-02-22T02:09:31.310718Z,,2026-02-22T02:09:32.116573Z
no_outage_error_rate_100,100,0,100,0,204106,job-2,noop,failed,5,operation failed successfully,2026-02-22T02:09:17.889163Z,2026-02-22T02:09:28.857237Z,2026-02-22T02:09:31.32253Z,,2026-02-22T02:09:32.130107Z
no_outage_error_rate_100,100,0,100,0,204107,job-3,noop,failed,5,refusing to complete,2026-02-22T02:09:17.891657Z,2026-02-22T02:09:28.863232Z,2026-02-22T02:09:31.327098Z,,2026-02-22T02:09:32.132406Z
no_outage_error_rate_100,100,0,100,0,204108,job-4,noop,failed,5,success was never an option,2026-02-22T02:09:17.89427Z,2026-02-22T02:09:28.880127Z,2026-02-22T02:09:31.336816Z,,2026-02-22T02:09:32.14156Z
no_outage_error_rate_100,100,0,100,0,204109,job-5,noop,failed,5,"this is not a bug, it's a statement",2026-02-22T02:09:17.897125Z,2026-02-22T02:09:28.895036Z,2026-02-22T02:09:31.361314Z,,2026-02-22T02:09:32.167541Z
no_outage_error_rate_100,100,0,100,0,204110,job-6,noop,failed,5,could not not fail,2026-02-22T02:09:17.899837Z,2026-02-22T02:09:28.89671Z,2026-02-22T02:09:31.366087Z,,2026-02-22T02:09:32.17226Z
no_outage_error_rate_100,100,0,100,0,204111,job-7,noop,failed,5,success was never an option,2026-02-22T02:09:17.902652Z,2026-02-22T02:09:28.896621Z,2026-02-22T02:09:31.371092Z,,2026-02-22T02:09:32.178167Z
no_outage_error_rate_100,100,0,100,0,204112,job-8,noop,failed,5,done trying,2026-02-22T02:09:17.905773Z,2026-02-22T02:09:29.66438Z,2026-02-22T02:09:32.112989Z,,2026-02-22T02:09:32.918268Z
no_outage_error_rate_100,100,0,100,0,204113,job-9,noop,failed,5,"this is not a bug, it's a statement",2026-02-22T02:09:17.908604Z,2026-02-22T02:09:29.666753Z,2026-02-22T02:09:32.119585Z,,2026-02-22T02:09:32.926843Z
no_outage_error_rate_100,100,0,100,0,204114,job-10,noop,failed,5,error about an error,2026-02-22T02:09:17.912091Z,2026-02-22T02:09:29.680642Z,2026-02-22T02:09:32.134079Z,,2026-02-22T02:09:32.938021Z
no_outage_error_rate_100,100,0,100,0,204115,job-11,noop,failed,5,done trying,2026-02-22T02:09:17.915386Z,2026-02-22T02:09:29.685355Z,2026-02-22T02:09:32.139144Z,,2026-02-22T02:09:32.943013Z
no_outage_error_rate_100,100,0,100,0,204116,job-12,noop,failed,5,error thrown for educational purposes,2026-02-22T02:09:17.918792Z,2026-02-22T02:09:29.696362Z,2026-02-22T02:09:32.144159Z,,2026-02-22T02:09:32.948414Z
no_outage_error_rate_100,100,0,100,0,204117,job-13,noop,failed,5,error about an error,2026-02-22T02:09:17.924663Z,2026-02-22T02:09:29.711767Z,2026-02-22T02:09:32.170363Z,,2026-02-22T02:09:32.975126Z
no_outage_error_rate_100,100,0,100,0,204118,job-14,noop,failed,5,"this is not a bug, it's a statement",2026-02-22T02:09:17.927122Z,2026-02-22T02:09:29.711768Z,2026-02-22T02:09:32.175243Z,,2026-02-22T02:09:32.980465Z
no_outage_error_rate_100,100,0,100,0,204119,job-15,noop,failed,5,this job has seen enough,2026-02-22T02:09:17.929778Z,2026-02-22T02:09:29.716134Z,2026-02-22T02:09:32.181709Z,,2026-02-22T02:09:32.987286Z
no_outage_error_rate_100,100,0,100,0,204120,job-16,noop,failed,5,success was never an option,2026-02-22T02:09:17.932251Z,2026-02-22T02:09:30.480324Z,2026-02-22T02:09:32.921829Z,,2026-02-22T02:09:33.726409Z
no_outage_error_rate_100,100,0,100,0,204121,job-17,noop,failed,5,this job has seen enough,2026-02-22T02:09:17.934745Z,2026-02-22T02:09:30.484742Z,2026-02-22T02:09:32.929411Z,,2026-02-22T02:09:33.733886Z
no_outage_error_rate_100,100,0,100,0,204122,job-18,noop,failed,5,error thrown for educational purposes,2026-02-22T02:09:17.937672Z,2026-02-22T02:09:30.497446Z,2026-02-22T02:09:32.941114Z,,2026-02-22T02:09:33.746292Z
no_outage_error_rate_100,100,0,100,0,204123,job-19,noop,failed,5,success was never an option,2026-02-22T02:09:17.940645Z,2026-02-22T02:09:30.502803Z,2026-02-22T02:09:32.946499Z,,2026-02-22T02:09:33.75141Z
no_outage_error_rate_100,100,0,100,0,204124,job-20,noop,failed,5,refusing to complete,2026-02-22T02:09:17.943472Z,2026-02-22T02:09:30.514059Z,2026-02-22T02:09:32.951405Z,,2026-02-22T02:09:33.759224Z
no_outage_error_rate_100,100,0,100,0,204125,job-21,noop,failed,5,success was never an option,2026-02-22T02:09:17.946766Z,2026-02-22T02:09:30.533927Z,2026-02-22T02:09:32.978609Z,,2026-02-22T02:09:33.782743Z
no_outage_error_rate_100,100,0,100,0,204126,job-22,noop,failed,5,error about an error,2026-02-22T02:09:17.950071Z,2026-02-22T02:09:30.535657Z,2026-02-22T02:09:32.986431Z,,2026-02-22T02:09:33.791768Z
